product_master_id,subproduct_id,operation_id,operation_name,sub_product,unit
28,41,,CNC Blanking - 3,"Clamp the job from OD - Perform - Facing, Boring, Partial OD Turning",
28,41,,CNC Blanking - 4,OD Turning,
28,41,,Profile Digging,Profile Digging,
28,41,,Profile Finishing,Profile Finishing,
28,41,,Drilling,Drilling,
28,41,,Taping,Taping,
28,41,,Counter,Counter,
28,41,,Thread Milling,Thread Milling,
28,41,,Hard Milling,Hard Milling,
28,41,,Keyway Slotting,Keyway Slotting,
28,41,,Round Keyway Milling,Round Keyway Milling,
28,41,,Keyway Chamfering,Keyway Chamfering,
28,41,,PHT Inspection,PHT Inspection,
28,41,,Heat Treatment,Heat Treatment,
28,41,,Thickness Grinding Single Side Only,Thickness Grinding Single Side Only,
28,41,,Thickness Grinding Both Side,Thickness Grinding Both Side,
28,41,,Bore Turning With Under Cut - Single Side,Bore Turning With Under Cut - Single Side,
28,41,,Bore Turning Both Side,Bore Turning Both Side,
28,41,,Bore Grinding with Under Cut - Single Side,Bore Grinding with Under Cut - Single Side,
28,41,,Bore Grinding Both Side,Bore Grinding Both Side,
28,41,,Keyway Wirecut,Keyway Wirecut,
28,41,,Bearing Seat - Single Side,Bearing Seat - Single Side,
28,41,,Plain Bore Turning Both Side,Plain Bore Turning Both Side,
28,41,,Plain Bore Turning with Under Cut - Single Side,Plain Bore Turning with Under Cut - Single Side,
28,41,,Bore Turning with Keyway - Both Side,Bore Turning with Keyway - Both Side,
28,41,,Bore Turning with Keyway & Under Cut - Single Side,Bore Turning with Keyway & Under Cut - Single Side,
28,41,,Thickness Turning - Single Side,Thickness Turning - Single Side,
28,41,,Hard Turning Profile,Hard Turning Profile - 1,
28,41,,Hard Turning Profile Matching on CNC,Hard Turning Profile Matching on CNC,
28,41,,Rib Thickness/Boss OD - Both Side,Rib Thickness/Boss OD - Both Side,
28,41,,Template Matching,Template Matching,
28,41,,"Final OD, Final Angle","Final OD, Final Angle",
28,41,,Bevel Grinding,Bevel Grinding,
29,42,,Cutting,Cutting,
29,42,,U Drilling,Core Drilling,
29,42,,CNC Blanking - 1,"Clamp the job from OD - Perform - Facing, Boring, Partial OD Turning",
29,42,,CNC Blanking - 2,Facing+Partial OD Turning,
29,42,,CNC Blanking - 3,"Clamp the job from OD - Perform - Facing, Boring, Partial OD Turning",
29,42,,CNC Blanking - 4,OD Turning,
29,42,,Profile Digging,Profile Digging,
29,42,,Profile Finishing,Profile Finishing,
29,42,,Drilling,Drilling,
29,42,,Taping,Taping,
29,42,,Counter,Counter,
29,42,,Thread Milling,Thread Milling,
29,42,,Hard Milling,Hard Milling,
29,42,,Keyway Slotting,Keyway Slotting,
29,42,,Round Keyway Milling,Round Keyway Milling,
29,42,,Keyway Chamfering,Keyway Chamfering,
29,42,,PHT Inspection,PHT Inspection,
29,42,,Heat Treatment,Heat Treatment,
29,42,,Thickness Grinding Single Side Only,Thickness Grinding Single Side Only,
29,42,,Thickness Grinding Both Side,Thickness Grinding Both Side,
29,42,,Bore Turning With Under Cut - Single Side,Bore Turning With Under Cut - Single Side,
29,42,,Bore Turning Both Side,Bore Turning Both Side,
29,42,,Bore Grinding with Under Cut - Single Side,Bore Grinding with Under Cut - Single Side,
29,42,,Bore Grinding Both Side,Bore Grinding Both Side,
29,42,,Keyway Wirecut,Keyway Wirecut,
29,42,,Bearing Seat - Single Side,Bearing Seat - Single Side,
29,42,,Plain Bore Turning Both Side,Plain Bore Turning Both Side,
29,42,,Plain Bore Turning with Under Cut - Single Side,Plain Bore Turning with Under Cut - Single Side,
29,42,,Bore Turning with Keyway - Both Side,Bore Turning with Keyway - Both Side,
29,42,,Bore Turning with Keyway & Under Cut - Single Side,Bore Turning with Keyway & Under Cut - Single Side,
29,42,,Thickness Turning - Single Side,Thickness Turning - Single Side,
29,42,,Hard Turning Profile,Hard Turning Profile - 1,
29,42,,Hard Turning Profile Matching on CNC,Hard Turning Profile Matching on CNC,
29,42,,Rib Thickness/Boss OD - Both Side,Rib Thickness/Boss OD - Both Side,
29,42,,Template Matching,Template Matching,
29,42,,"Final OD, Final Angle","Final OD, Final Angle",
29,42,,Bevel Grinding,Bevel Grinding,
