product_master_id,subproduct_id,operation_id,operation_name,sub_operation
3,10,,Grinding-2,Berral+spline dia grinding. <br> End journal grinding-2nd side
3,10,,Manual lathe,Final rework (barrel radius near to spline diameter).
3,10,,Fitter work,Final re-tapping work (Manual)
3,10,,QAD,Final inspection.
4,11,,Raw Material,Bandsaw cutting
4,11,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
4,11,,Drill+Tap,Driling+Tapping-1st & 2nd Side
4,11,,Heat Treatment,Roll Hardening
4,11,,Hard Turning,Facing+Centering+OD+ journals Turning-1st side <br> Facing+Centering+journals Turning -2nd Side.
4,11,,Grinding-1,Final grinding Neckring diameter of roll.
4,11,,Other Work,Neckring shink fitting on final journal dia of roll.
4,11,,Grinding-2,Berral+ necring & Journal-1st Side. <br> Journal- 2nd Side.
4,11,,Fitter work,Final re-tapping work. (Manual)
4,11,,Manual lathe,Final rework (if require in necring.)
4,11,,QAD,Final Inspection
5,12,,Raw Material,Bandsaw cutting
5,12,,Blanking,Facing+Centering+OD Turning-1st & 2nd Side
5,12,,Drill+Tap,Driling+Tapping-1st & 2nd Side
5,12,,Heat Treatment,Roll Hardening
5,12,,Hard Turning-1,Rough Centering+OD Turning-1st & 2nd Side
5,12,,Stress Relieve,Stress Relieve
5,12,,Hard Turning-2,Facing+Centering+ Journals Turning-1st & 2nd Side
5,12,,Grinding,Berral+Journal - 1st Side <br> Journal - 2nd Side
5,12,,Fitter work,Final re-tapping work.
5,12,,QAD,Final Inspection
6,13,,Raw Material,Bandsaw cutting
6,13,,Blanking,Facing+Centering+OD Turning-1st & 2nd Side
6,13,,Drill+ Tap,Driling+Tapping-1st & 2nd Side
6,13,,Heat Treatment,Roll Hardening
6,13,,Hard Turning-1,Rough Centering+OD Turning-1st & 2nd Side.
6,13,,Stress Relieve,Stress Relieve
6,13,,Hard Turning-2,Facing+Centering+ Journals Turning-1st & 2nd side.
6,13,,Grinding,Berral+Journal grinding - 1st side <br> Journal Grinding 2nd Side
6,13,,Fitter work,Final re-tapping work (Manual)
6,13,,QAD,Final Inspection
1,14,,Raw Material,Bandsaw cutting
1,14,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
1,14,,Drill+Tap,Drilling+Tapping -both Side
1,14,,Heat Treatment,Roll Hardening
1,14,,Hard Turning-1,Length+Facing+Centering both side
1,14,,Hard Turning-2,Barrel+Short side Journal hard turning+grove+thread 1st side <br> Long side Journal hard turning+grove+thread-2nd side.
